ID;mission_name;image_path;situation;location
1;pierre;recortespierre\DJI_20241003122836_0007_T_BOX1.jpg;Sem defeitos;{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
2;pierre;recortespierre\DJI_20241003122836_0007_T_BOX2.jpg;1 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
3;pierre;recortespierre\DJI_20241003122836_0007_T_BOX3.jpg;Sem defeitos;{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
4;pierre;recortespierre\DJI_20241003122836_0007_T_BOX4.jpg;Sem defeitos;{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
5;pierre;recortespierre\DJI_20241003122836_0007_T_BOX5.jpg;2 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
6;pierre;recortespierre\DJI_20241003122836_0007_T_BOX6.jpg;1 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
7;pierre;recortespierre\DJI_20241003122836_0007_T_BOX7.jpg;4 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
8;pierre;recortespierre\DJI_20241003122836_0007_T_BOX8.jpg;Sem defeitos;{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
9;pierre;recortespierre\DJI_20241003122836_0007_T_BOX9.jpg;Sem defeitos;{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
10;pierre;recortespierre\DJI_20241003122836_0007_T_BOX10.jpg;1 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
11;pierre;recortespierre\DJI_20241003122836_0007_T_BOX11.jpg;2 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
12;pierre;recortespierre\DJI_20241003122836_0007_T_BOX12.jpg;Sem defeitos;{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
13;pierre;recortespierre\DJI_20241003122836_0007_T_BOX13.jpg;1 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
14;pierre;recortespierre\DJI_20241003122836_0007_T_BOX14.jpg;1 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
15;pierre;recortespierre\DJI_20241003122836_0007_T_BOX15.jpg;4 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
16;pierre;recortespierre\DJI_20241003122836_0007_T_BOX16.jpg;Sem defeitos;{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
17;pierre;recortespierre\DJI_20241003122836_0007_T_BOX17.jpg;Sem defeitos;{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
18;pierre;recortespierre\DJI_20241003122836_0007_T_BOX18.jpg;6 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
19;pierre;recortespierre\DJI_20241003122836_0007_T_BOX19.jpg;Sem defeitos;{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
20;pierre;recortespierre\DJI_20241003122836_0007_T_BOX20.jpg;2 celula(s) com defeito(s);{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
21;pierre;recortespierre\DJI_20241003122836_0007_T_BOX21.jpg;Sem defeitos;{'S': (22.0, 54.0, 24.8587), 'W': (43.0, 7.0, 58.3923)}
